"RENZO GRACIE INTERNATIONAL","BLUE","ADULT","MALE","ROOSTER","1"
"RENZO GRACIE INTERNATIONAL","BROWN","ADULT","MALE","MIDDLE","1"
"RENZO GRACIE INTERNATIONAL","BLUE","ADULT","MALE","MIDDLE","1"
"RENZO GRACIE INTERNATIONAL","BLUE","MASTER 2","MALE","SUPER HEAVY","1"
"RENZO GRACIE INTERNATIONAL","BLUE","ADULT","MALE","HEAVY","1"
"RENZO GRACIE INTERNATIONAL","BLUE","MASTER 3","MALE","SUPER HEAVY","1"
"RENZO GRACIE INTERNATIONAL","BROWN","MASTER 4","MALE","MEDIUM HEAVY","1"
"RENZO GRACIE INTERNATIONAL","BLUE","ADULT","MALE","ULTRA HEAVY","1"
"RENZO GRACIE INTERNATIONAL","BLUE","MASTER 5","MALE","FEATHER","1"
"RENZO GRACIE INTERNATIONAL","BLUE","ADULT","MALE","FEATHER","1"
"RENZO GRACIE INTERNATIONAL","BLUE","MASTER 1","FEMALE","LIGHT","1"
"RENZO GRACIE INTERNATIONAL","BROWN","ADULT","MALE","LIGHT","1"
"RENZO GRACIE INTERNATIONAL","PURPLE","MASTER 2","MALE","MIDDLE","1"
"NAKACHE BRAZILIAN JIU JITSU ACADEMY","WHITE","ADULT","MALE","ULTRA HEAVY","1"
"NAKACHE BRAZILIAN JIU JITSU ACADEMY","WHITE","MASTER 1","MALE","MIDDLE","1"
"NAKACHE BRAZILIAN JIU JITSU ACADEMY","PURPLE","MASTER 1","MALE","ULTRA HEAVY","1"
"TEAM LEITES STOCKHOLM","PURPLE","ADULT","FEMALE","MEDIUM HEAVY","1"
"TEAM LEITES STOCKHOLM","WHITE","ADULT","MALE","FEATHER","1"
"TEAM LEITES STOCKHOLM","WHITE","ADULT","FEMALE","LIGHT","1"
"TEAM LEITES STOCKHOLM","WHITE","ADULT","FEMALE","FEATHER","1"
"LUDUS BRAZILIAN TOP TEAM","WHITE","ADULT","MALE","MIDDLE","1"
"LUDUS BRAZILIAN TOP TEAM","PURPLE","MASTER 2","MALE","SUPER HEAVY","1"
"LUDUS BRAZILIAN TOP TEAM","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"LUDUS BRAZILIAN TOP TEAM","BLUE","ADULT","MALE","SUPER HEAVY","1"
"LUDUS BRAZILIAN TOP TEAM","PURPLE","MASTER 2","MALE","ULTRA HEAVY","1"
"LUDUS BRAZILIAN TOP TEAM","WHITE","MASTER 1","MALE","SUPER HEAVY","1"
"LUDUS BRAZILIAN TOP TEAM","BROWN","ADULT","MALE","LIGHT","1"
"LUDUS BRAZILIAN TOP TEAM","BLUE","MASTER 2","MALE","ULTRA HEAVY","2"
"99 NINE NINE JJ - INTERNATIONAL","BLUE","JUVENILE 2","MALE","LIGHT FEATHER","1"
"99 NINE NINE JJ - INTERNATIONAL","BLUE","JUVENILE 2","MALE","FEATHER","1"
"BAD BOYS JJ","BLACK","MASTER 2","MALE","MIDDLE","1"
"BAD BOYS JJ","PURPLE","MASTER 3","MALE","MEDIUM HEAVY","1"
"ACADEMY CAVEIRINHA","BLUE","ADULT","MALE","MIDDLE","1"
"ACADEMY CAVEIRINHA","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"ACADEMY CAVEIRINHA","BLACK","MASTER 1","MALE","LIGHT FEATHER","1"
"ACADEMY CAVEIRINHA","BLUE","ADULT","MALE","HEAVY","1"
"BMA FRANCE","WHITE","ADULT","MALE","MIDDLE","1"
"BMA FRANCE","WHITE","ADULT","MALE","FEATHER","1"
"BMA FRANCE","BLUE","ADULT","MALE","MIDDLE","1"
"BMA FRANCE","WHITE","MASTER 1","MALE","LIGHT","2"
"SUL JJ CAXIAS DO SUL","WHITE","ADULT","MALE","HEAVY","1"
"SUL JJ CAXIAS DO SUL","BLUE","ADULT","MALE","SUPER HEAVY","1"
"SUL JJ CAXIAS DO SUL","BROWN","MASTER 2","MALE","ROOSTER","1"
"SUL JJ CAXIAS DO SUL","BLUE","ADULT","MALE","LIGHT","2"
"SUL JJ CAXIAS DO SUL","WHITE","ADULT","MALE","ROOSTER","1"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","PURPLE","ADULT","MALE","LIGHT","1"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","PURPLE","MASTER 1","MALE","LIGHT","1"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","BLACK","ADULT","MALE","SUPER HEAVY","1"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","PURPLE","MASTER 2","MALE","HEAVY","1"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","PURPLE","MASTER 1","MALE","SUPER HEAVY","1"
"CLUBE DE JIU-JITSU PITBULL CZECH REPUBLIC","BLUE","ADULT","MALE","LIGHT","1"
"PROFESSIONAL TRAINING CENTER","BLUE","MASTER 2","MALE","FEATHER","1"
"KENNY KIM BJJ","PURPLE","ADULT","MALE","LIGHT FEATHER","1"
"CLIMENT CLUB","WHITE","ADULT","MALE","HEAVY","1"
"CLIMENT CLUB","WHITE","JUVENILE 2","MALE","LIGHT","1"
"CLIMENT CLUB","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"CLIMENT CLUB","BLUE","MASTER 5","MALE","SUPER HEAVY","1"
"CLIMENT CLUB","WHITE","ADULT","MALE","LIGHT","1"
"CLIMENT CLUB","WHITE","ADULT","MALE","FEATHER","1"
