"IMPACTO JAPAN B.J.J.","PURPLE","ADULT","MALE","FEATHER","1"
"IMPACTO JAPAN B.J.J.","BLACK","MASTER 2","MALE","FEATHER","1"
"IMPACTO JAPAN B.J.J.","BLACK","MASTER 1","MALE","LIGHT","1"
"IMPACTO JAPAN B.J.J.","BLACK","ADULT","MALE","MEDIUM HEAVY","1"
"IMPACTO JAPAN B.J.J.","PURPLE","ADULT","MALE","LIGHT","1"
"IMPACTO JAPAN B.J.J.","BROWN","MASTER 1","MALE","LIGHT","1"
"IMPACTO JAPAN B.J.J.","BLACK","MASTER 2","MALE","LIGHT FEATHER","1"
"IMPACTO JAPAN B.J.J.","BROWN","MASTER 1","MALE","MIDDLE","1"
"IMPACTO JAPAN B.J.J.","PURPLE","ADULT","MALE","MIDDLE","1"
"FRONTLINE ACADEMY","BROWN","ADULT","MALE","MIDDLE","1"
"FRONTLINE ACADEMY","BLUE","MASTER 3","MALE","MIDDLE","1"
"FRONTLINE ACADEMY","BLACK","ADULT","MALE","HEAVY","1"
"FRONTLINE ACADEMY","BLUE","JUVENILE 1","MALE","MIDDLE","1"
"FRONTLINE ACADEMY","WHITE","ADULT","FEMALE","MIDDLE","1"
"FRONTLINE ACADEMY","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"FRONTLINE ACADEMY","BLACK","ADULT","MALE","ROOSTER","1"
"FRONTLINE ACADEMY","BLUE","ADULT","FEMALE","FEATHER","1"
"FRONTLINE ACADEMY","BROWN","ADULT","FEMALE","LIGHT","1"
"FRONTLINE ACADEMY","BLUE","ADULT","MALE","HEAVY","1"
"FRONTLINE ACADEMY","BLUE","MASTER 3","MALE","SUPER HEAVY","1"
"FRONTLINE ACADEMY","PURPLE","MASTER 1","MALE","MIDDLE","1"
"FRONTLINE ACADEMY","WHITE","ADULT","MALE","ULTRA HEAVY","1"
"FRONTLINE ACADEMY","WHITE","ADULT","MALE","SUPER HEAVY","1"
"FRONTLINE ACADEMY","BLUE","ADULT","MALE","FEATHER","2"
"FRONTLINE ACADEMY","BLACK","ADULT","MALE","MIDDLE","1"
"FRONTLINE ACADEMY","PURPLE","ADULT","FEMALE","MEDIUM HEAVY","1"
"FRONTLINE ACADEMY","WHITE","ADULT","MALE","MIDDLE","2"
"FRONTLINE ACADEMY","BLUE","ADULT","MALE","MIDDLE","2"
"FRONTLINE ACADEMY","BROWN","ADULT","MALE","MEDIUM HEAVY","2"
"FRONTLINE ACADEMY","PURPLE","ADULT","FEMALE","LIGHT","1"
"FRONTLINE ACADEMY","WHITE","ADULT","MALE","LIGHT","1"
"FRONTLINE ACADEMY","PURPLE","ADULT","MALE","SUPER HEAVY","1"
"FRONTLINE ACADEMY","BLACK","MASTER 1","MALE","SUPER HEAVY","1"
"FRONTLINE ACADEMY","PURPLE","ADULT","MALE","MEDIUM HEAVY","2"
"FRONTLINE ACADEMY","BLUE","ADULT","FEMALE","LIGHT","2"
"FRONTLINE ACADEMY","WHITE","ADULT","MALE","FEATHER","2"
"FRONTLINE ACADEMY","BLUE","ADULT","MALE","LIGHT","2"
"FIGHT SPORTS","BLACK","ADULT","MALE","HEAVY","1"
"EASTON BJJ","BLUE","ADULT","FEMALE","FEATHER","1"
"GF TEAM FRANCE","PURPLE","ADULT","MALE","FEATHER","1"
"GF TEAM FRANCE","BLUE","ADULT","MALE","ROOSTER","1"
"GF TEAM FRANCE","BLACK","ADULT","MALE","HEAVY","1"
"GF TEAM FRANCE","PURPLE","ADULT","MALE","MIDDLE","1"
"GF TEAM FRANCE","BROWN","MASTER 2","MALE","LIGHT","1"
"GF TEAM FRANCE","WHITE","ADULT","FEMALE","FEATHER","1"
"GF TEAM FRANCE","BROWN","ADULT","MALE","LIGHT FEATHER","1"
"GF TEAM FRANCE","WHITE","ADULT","MALE","ULTRA HEAVY","1"
"GF TEAM FRANCE","BLUE","MASTER 1","MALE","HEAVY","1"
"GF TEAM FRANCE","BLACK","MASTER 1","MALE","MEDIUM HEAVY","1"
"GF TEAM FRANCE","BLACK","ADULT","MALE","MIDDLE","1"
"GF TEAM FRANCE","PURPLE","ADULT","MALE","HEAVY","2"
"GF TEAM FRANCE","BLUE","ADULT","MALE","FEATHER","1"
"GF TEAM FRANCE","PURPLE","MASTER 2","MALE","LIGHT","1"
"GF TEAM FRANCE","WHITE","ADULT","MALE","FEATHER","2"
"GF TEAM FRANCE","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"GF TEAM FRANCE","BLUE","MASTER 2","MALE","FEATHER","1"
"GF TEAM FRANCE","BROWN","ADULT","FEMALE","MIDDLE","1"
"TRINACRIA BJJ","PURPLE","MASTER 2","MALE","FEATHER","1"
"Z1 ANGOLA","PURPLE","MASTER 2","MALE","LIGHT","1"
"Z1 ANGOLA","WHITE","MASTER 2","MALE","FEATHER","1"
"Z1 ANGOLA","BLUE","JUVENILE 2","MALE","MIDDLE","1"
"Z1 ANGOLA","WHITE","JUVENILE 1","MALE","MEDIUM HEAVY","1"
"Z1 ANGOLA","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"Z1 ANGOLA","BLUE","ADULT","MALE","LIGHT","1"
"GRACIE BARRA ACADEMY","BLACK","ADULT","MALE","HEAVY","1"
"GRACIE BARRA ACADEMY","BLUE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA ACADEMY","PURPLE","ADULT","MALE","MEDIUM HEAVY","1"
"GRACIE BARRA ACADEMY","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"GRACIE BARRA ACADEMY","PURPLE","ADULT","MALE","MIDDLE","2"
"GRACIE BARRA ACADEMY","BLUE","ADULT","FEMALE","FEATHER","1"
"RAC JIU JITSU / AVEIRO","WHITE","MASTER 1","MALE","HEAVY","1"
"RAC JIU JITSU / AVEIRO","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"RICK YOUNG BJJ ACADEMY","WHITE","ADULT","MALE","MIDDLE","1"
"RICK YOUNG BJJ ACADEMY","BLUE","ADULT","MALE","MIDDLE","1"
"RICK YOUNG BJJ ACADEMY","BLUE","MASTER 2","MALE","SUPER HEAVY","1"
"RICK YOUNG BJJ ACADEMY","WHITE","MASTER 2","MALE","ULTRA HEAVY","1"
"RICK YOUNG BJJ ACADEMY","BLUE","MASTER 1","MALE","HEAVY","1"
"RICK YOUNG BJJ ACADEMY","BROWN","MASTER 1","MALE","ULTRA HEAVY","1"
"RICK YOUNG BJJ ACADEMY","BLUE","MASTER 4","MALE","HEAVY","1"
"GRACIE HUMAITA USA","BLACK","MASTER 1","FEMALE","HEAVY","1"
"FRONTLINE ACADEMY DRAMMEN","BLUE","ADULT","MALE","LIGHT","1"
"SAGITTARIUS FIGHTING CLUB","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"SAGITTARIUS FIGHTING CLUB","BLUE","ADULT","MALE","MIDDLE","1"
"SAGITTARIUS FIGHTING CLUB","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"ACTJJ INTERNATIONAL","WHITE","ADULT","MALE","HEAVY","1"
"ACTJJ INTERNATIONAL","BROWN","MASTER 2","MALE","MEDIUM HEAVY","1"
"ACTJJ INTERNATIONAL","WHITE","MASTER 2","MALE","MIDDLE","1"
"ACTJJ INTERNATIONAL","BLUE","MASTER 1","MALE","ULTRA HEAVY","1"
"ACTJJ INTERNATIONAL","BLUE","MASTER 2","MALE","MIDDLE","1"
"ACTJJ INTERNATIONAL","WHITE","ADULT","MALE","LIGHT","2"
"ACTJJ INTERNATIONAL","BLUE","ADULT","MALE","FEATHER","2"
"ACTJJ INTERNATIONAL","WHITE","ADULT","MALE","FEATHER","1"
"ACTJJ INTERNATIONAL","BLUE","ADULT","MALE","LIGHT","2"
"DAVID VIEIRA BJJ INTERNATIONAL","BLUE","MASTER 1","MALE","FEATHER","1"
"BLACKOUT ACADEMY","BROWN","MASTER 2","MALE","MEDIUM HEAVY","1"
"BLACKOUT ACADEMY","PURPLE","MASTER 3","MALE","LIGHT","1"
"ALLIANCE USA","BLUE","ADULT","MALE","LIGHT","2"
"PGN HIGASHIYAMATO","BLACK","ADULT","MALE","LIGHT","1"
"PRECISION JIU-JITSU","WHITE","ADULT","MALE","LIGHT FEATHER","1"
"PRECISION JIU-JITSU","PURPLE","MASTER 1","MALE","LIGHT","1"
"AMAZONAS RICE BROS BJJ","PURPLE","ADULT","MALE","MIDDLE","1"
"ROY DEAN ACADEMY","WHITE","MASTER 2","MALE","MEDIUM HEAVY","1"
"PORTUGAL GOLD TEAM","BROWN","MASTER 2","MALE","MIDDLE","1"
"PORTUGAL GOLD TEAM","WHITE","MASTER 2","MALE","MIDDLE","1"
"PORTUGAL GOLD TEAM","WHITE","ADULT","MALE","ROOSTER","1"
"ALLIANCE MARCELO GARCIA","PURPLE","MASTER 1","MALE","LIGHT FEATHER","1"
"BJJ GLOBETROTTERS","BROWN","MASTER 1","MALE","MIDDLE","1"
"BJJ GLOBETROTTERS","WHITE","MASTER 1","MALE","LIGHT","1"
"BJJ GLOBETROTTERS","BLUE","ADULT","FEMALE","LIGHT FEATHER","1"
"BJJ GLOBETROTTERS","BLUE","ADULT","MALE","HEAVY","1"
"BJJ GLOBETROTTERS","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"BJJ GLOBETROTTERS","BROWN","MASTER 1","MALE","LIGHT","1"
"BJJ GLOBETROTTERS","PURPLE","MASTER 3","MALE","MEDIUM HEAVY","1"
"BJJ GLOBETROTTERS","WHITE","MASTER 2","MALE","MIDDLE","1"
"BJJ GLOBETROTTERS","BLUE","MASTER 2","MALE","ULTRA HEAVY","1"
"BJJ GLOBETROTTERS","PURPLE","ADULT","MALE","HEAVY","1"
"BJJ GLOBETROTTERS","BLUE","JUVENILE 1","MALE","FEATHER","1"
"BJJ GLOBETROTTERS","BLUE","MASTER 1","MALE","MIDDLE","2"
"BJJ GLOBETROTTERS","BLUE","MASTER 4","MALE","FEATHER","1"
"BJJ GLOBETROTTERS","BLUE","MASTER 2","MALE","MIDDLE","1"
"BJJ GLOBETROTTERS","BLUE","ADULT","MALE","FEATHER","2"
"BJJ GLOBETROTTERS","WHITE","ADULT","MALE","FEATHER","1"
"BJJ GLOBETROTTERS","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"BJJ GLOBETROTTERS","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"BJJ GLOBETROTTERS","BLUE","ADULT","MALE","LIGHT","1"
"GRACIE HUMAITA","PURPLE","ADULT","MALE","FEATHER","1"
"GRACIE HUMAITA","BLACK","MASTER 1","MALE","FEATHER","1"
"GRACIE HUMAITA","BROWN","ADULT","MALE","MIDDLE","1"
"GRACIE HUMAITA","BLACK","ADULT","MALE","HEAVY","1"
"GRACIE HUMAITA","BLACK","MASTER 5","MALE","FEATHER","1"
"GRACIE HUMAITA","PURPLE","MASTER 1","FEMALE","LIGHT FEATHER","1"
"GRACIE HUMAITA","BLUE","ADULT","MALE","FEATHER","1"
"GRACIE HUMAITA","BLUE","ADULT","FEMALE","MIDDLE","1"
"GRACIE HUMAITA","BLUE","ADULT","FEMALE","FEATHER","1"
"GYMNASIUM","WHITE","JUVENILE 2","MALE","LIGHT","1"
"GYMNASIUM","WHITE","MASTER 1","MALE","LIGHT","1"
"GYMNASIUM","BLUE","ADULT","MALE","HEAVY","1"
"GYMNASIUM","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"GYMNASIUM","BLUE","ADULT","FEMALE","MIDDLE","1"
"GYMNASIUM","WHITE","JUVENILE 2","FEMALE","FEATHER","1"
"GYMNASIUM","WHITE","ADULT","MALE","LIGHT","1"
"GYMNASIUM","BLACK","MASTER 3","MALE","MIDDLE","1"
"GYMNASIUM","BLUE","ADULT","MALE","FEATHER","1"
"GYMNASIUM","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"GYMNASIUM","WHITE","MASTER 2","MALE","HEAVY","1"
"SBG IRELAND","BLUE","ADULT","MALE","MIDDLE","1"
"SBG IRELAND","BROWN","ADULT","MALE","MEDIUM HEAVY","1"
"SBG IRELAND","PURPLE","ADULT","MALE","LIGHT","1"
"SBG IRELAND","BLUE","MASTER 1","MALE","LIGHT","1"
"SBG IRELAND","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"SBG IRELAND","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"SBG IRELAND","PURPLE","ADULT","MALE","HEAVY","1"
"SBG IRELAND","BLUE","ADULT","MALE","FEATHER","2"
"SBG IRELAND","WHITE","MASTER 1","MALE","SUPER HEAVY","1"
"SBG IRELAND","BLACK","MASTER 2","MALE","MEDIUM HEAVY","1"
"DC MILLENIUM TEAM","BLUE","MASTER 2","MALE","LIGHT FEATHER","1"
"DC MILLENIUM TEAM","PURPLE","MASTER 3","MALE","HEAVY","1"
"DC MILLENIUM TEAM","BLACK","MASTER 3","MALE","MEDIUM HEAVY","1"
"DC MILLENIUM TEAM","PURPLE","MASTER 2","MALE","MIDDLE","1"
"FIGHT CLUB CASSIS","BLACK","MASTER 5","MALE","FEATHER","1"
"MUSICA E PASSIONI / ARS NOVA TEAM","BROWN","MASTER 2","MALE","MIDDLE","1"
"ROGER GRACIE-VIE ACADEMY","PURPLE","MASTER 3","MALE","ULTRA HEAVY","1"
"DE SOUZA DOJO","BLACK","MASTER 2","MALE","MIDDLE","1"
"DE SOUZA DOJO","BLACK","ADULT","MALE","LIGHT","1"
"DE SOUZA DOJO","PURPLE","MASTER 3","MALE","LIGHT","1"
"DE SOUZA DOJO","PURPLE","MASTER 1","MALE","SUPER HEAVY","1"
"DE SOUZA DOJO","PURPLE","MASTER 3","MALE","FEATHER","1"
"MIRKOVIC - RUCKUS BJJ","WHITE","ADULT","MALE","MIDDLE","1"
"MIRKOVIC - RUCKUS BJJ","WHITE","ADULT","MALE","FEATHER","1"
"MIRKOVIC - RUCKUS BJJ","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"MIRKOVIC - RUCKUS BJJ","WHITE","ADULT","MALE","LIGHT","1"
"MIRKOVIC - RUCKUS BJJ","WHITE","ADULT","MALE","ULTRA HEAVY","1"
"SCHUBERT JIU-JITSU","BROWN","ADULT","FEMALE","FEATHER","1"
"PARAESTRA KOIWA","BLACK","MASTER 3","MALE","LIGHT","1"
"PARAESTRA KOIWA","BROWN","MASTER 3","MALE","FEATHER","1"
"BARBOSA JJ E MMA","BLACK","MASTER 1","MALE","SUPER HEAVY","1"
"ALLIANCE ATLANTA","PURPLE","ADULT","MALE","MIDDLE","1"
"BRIGADEIRO BJJ - UK","PURPLE","MASTER 3","MALE","MIDDLE","1"
"BRIGADEIRO BJJ - UK","BLUE","MASTER 2","MALE","LIGHT","1"
"BRIGADEIRO BJJ - UK","BLACK","MASTER 1","MALE","MIDDLE","1"
"BRIGADEIRO BJJ - UK","BLUE","ADULT","MALE","LIGHT","1"
"TEAM TRONDHEIM BJJ","BLACK","MASTER 2","MALE","MEDIUM HEAVY","1"
"TEAM TRONDHEIM BJJ","PURPLE","ADULT","MALE","LIGHT","2"
"MALICIA TEAM","BLUE","ADULT","MALE","MIDDLE","1"
"MALICIA TEAM","BLACK","MASTER 2","MALE","MIDDLE","1"
"MALICIA TEAM","PURPLE","ADULT","MALE","LIGHT","1"
"MALICIA TEAM","BLACK","ADULT","MALE","ULTRA HEAVY","1"
"MALICIA TEAM","BROWN","MASTER 2","MALE","MIDDLE","1"
"MALICIA TEAM","PURPLE","MASTER 1","MALE","LIGHT","1"
"MALICIA TEAM","PURPLE","ADULT","MALE","SUPER HEAVY","1"
"MALICIA TEAM","BROWN","ADULT","FEMALE","LIGHT FEATHER","1"
"MALICIA TEAM","WHITE","ADULT","MALE","FEATHER","1"
"MALICIA TEAM","PURPLE","ADULT","MALE","MIDDLE","2"
"MALICIA TEAM","PURPLE","MASTER 1","MALE","ULTRA HEAVY","1"
"MALICIA TEAM","BLUE","ADULT","MALE","LIGHT","1"
"FERRARI TEAM ACADEMY","BLUE","ADULT","MALE","FEATHER","1"
"FERRARI TEAM ACADEMY","BROWN","MASTER 2","MALE","MIDDLE","1"
"ALIVE","BLACK","ADULT","MALE","FEATHER","1"
"PALM BEACH JIU-JITSU","PURPLE","ADULT","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 2","MALE","SUPER HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 4","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","MALE","HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","MALE","MEDIUM HEAVY","2"
"CARLSON GRACIE TEAM","WHITE","ADULT","MALE","LIGHT FEATHER","2"
"CARLSON GRACIE TEAM","BLUE","MASTER 1","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","BROWN","MASTER 1","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 2","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","BROWN","MASTER 3","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","WHITE","ADULT","FEMALE","LIGHT FEATHER","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","MALE","LIGHT FEATHER","1"
"CARLSON GRACIE TEAM","WHITE","MASTER 2","MALE","HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","FEMALE","FEATHER","1"
"CARLSON GRACIE TEAM","BLACK","MASTER 2","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","WHITE","MASTER 1","MALE","LIGHT","2"
"CARLSON GRACIE TEAM","BLUE","MASTER 3","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","WHITE","MASTER 2","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","PURPLE","ADULT","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 1","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","WHITE","MASTER 1","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 4","MALE","SUPER HEAVY","1"
"CARLSON GRACIE TEAM","BROWN","MASTER 2","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","WHITE","JUVENILE 1","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 1","MALE","MIDDLE","2"
"CARLSON GRACIE TEAM","PURPLE","ADULT","MALE","HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","BLACK","ADULT","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","BROWN","ADULT","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 1","MALE","SUPER HEAVY","1"
"CARLSON GRACIE TEAM","BLACK","MASTER 2","MALE","SUPER HEAVY","1"
"CARLSON GRACIE TEAM","WHITE","ADULT","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","MALE","MIDDLE","2"
"CARLSON GRACIE TEAM","PURPLE","MASTER 5","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 2","MALE","MEDIUM HEAVY","2"
"CARLSON GRACIE TEAM","BLUE","MASTER 1","MALE","FEATHER","2"
"CARLSON GRACIE TEAM","BLUE","MASTER 1","MALE","ULTRA HEAVY","1"
"CARLSON GRACIE TEAM","WHITE","MASTER 2","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","PURPLE","ADULT","MALE","SUPER HEAVY","1"
"CARLSON GRACIE TEAM","PURPLE","ADULT","MALE","FEATHER","2"
"CARLSON GRACIE TEAM","BLACK","MASTER 1","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","WHITE","ADULT","MALE","MEDIUM HEAVY","2"
"CARLSON GRACIE TEAM","BLUE","MASTER 5","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 2","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 3","MALE","SUPER HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 2","MALE","HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","MASTER 1","MALE","LIGHT FEATHER","1"
"CARLSON GRACIE TEAM","BROWN","MASTER 5","MALE","ULTRA HEAVY","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","PURPLE","MASTER 1","MALE","LIGHT","1"
"CARLSON GRACIE TEAM","BROWN","ADULT","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","BROWN","ADULT","FEMALE","MEDIUM HEAVY","1"
"CARLSON GRACIE TEAM","WHITE","ADULT","MALE","FEATHER","1"
"CARLSON GRACIE TEAM","PURPLE","ADULT","MALE","MIDDLE","1"
"CARLSON GRACIE TEAM","BLACK","MASTER 3","MALE","HEAVY","1"
"CARLSON GRACIE TEAM","BLUE","ADULT","MALE","LIGHT","2"
"ALLIANCE LOS ANGELES","PURPLE","ADULT","MALE","LIGHT","1"
"ALLIANCE LOS ANGELES","BROWN","ADULT","MALE","FEATHER","1"
"ALLIANCE LOS ANGELES","BLUE","ADULT","MALE","LIGHT","1"
"BATATINHA TEAM ITALIA JJ","PURPLE","MASTER 1","MALE","FEATHER","1"
"BARBOSA TEAM AGUA","WHITE","MASTER 1","MALE","ULTRA HEAVY","1"
"BARBOSA TEAM AGUA","PURPLE","MASTER 3","MALE","MIDDLE","1"
"BARBOSA TEAM AGUA","BLUE","ADULT","FEMALE","FEATHER","1"
"PHALANX 111","WHITE","ADULT","MALE","MIDDLE","1"
"PHALANX 111","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"BJJ SCHOOL UK","BLACK","MASTER 1","MALE","LIGHT","1"
"BJJ SCHOOL UK","PURPLE","ADULT","MALE","LIGHT","1"
"BJJ SCHOOL UK","PURPLE","ADULT","FEMALE","MIDDLE","1"
"BJJ SCHOOL UK","BLUE","ADULT","MALE","FEATHER","1"
"BJJ SCHOOL UK","WHITE","ADULT","FEMALE","LIGHT FEATHER","1"
"BJJ SCHOOL UK","BLUE","ADULT","MALE","LIGHT","1"
"BJJ SCHOOL UK","BLACK","MASTER 4","MALE","MEDIUM HEAVY","1"
"BJJ SCHOOL UK","PURPLE","MASTER 3","MALE","FEATHER","1"
"ALLIANCE CROATIA","BLUE","ADULT","MALE","MIDDLE","1"
"GROUND FIGHTERS","BLUE","ADULT","MALE","MIDDLE","1"
"GROUND FIGHTERS","BLUE","ADULT","MALE","HEAVY","1"
"GROUND FIGHTERS","WHITE","JUVENILE 2","MALE","FEATHER","1"
"GROUND FIGHTERS","BLUE","ADULT","MALE","FEATHER","1"
"GROUND FIGHTERS","BROWN","MASTER 1","FEMALE","LIGHT","1"
"GROUND FIGHTERS","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"GROUND FIGHTERS","BLUE","MASTER 2","MALE","FEATHER","1"
"GROUND FIGHTERS","WHITE","ADULT","FEMALE","HEAVY","1"
"ZENITH BJJ","BROWN","ADULT","MALE","MIDDLE","1"
"ZENITH BJJ","BLUE","ADULT","MALE","LIGHT","1"
"ZENITH BJJ","BLUE","ADULT","MALE","MEDIUM HEAVY","1"
"ZENITH BJJ","PURPLE","ADULT","MALE","ULTRA HEAVY","1"
"ZENITH BJJ","BLACK","ADULT","MALE","MEDIUM HEAVY","1"
"ZENITH BJJ","BLUE","MASTER 1","MALE","MEDIUM HEAVY","2"
"ZENITH BJJ","BLACK","ADULT","MALE","LIGHT","1"
"ZENITH BJJ","BLACK","ADULT","MALE","ULTRA HEAVY","1"
"ZENITH BJJ","PURPLE","MASTER 2","MALE","SUPER HEAVY","1"
"ZENITH BJJ","BROWN","MASTER 1","MALE","HEAVY","1"
"ZENITH BJJ","PURPLE","ADULT","MALE","LIGHT","2"
"ZENITH BJJ","BLUE","ADULT","FEMALE","MIDDLE","1"
"ZENITH BJJ","BLACK","ADULT","MALE","FEATHER","1"
"ZENITH BJJ","BLACK","MASTER 2","MALE","HEAVY","1"
"ZENITH BJJ","BLACK","MASTER 3","MALE","SUPER HEAVY","1"
"ZENITH BJJ","WHITE","MASTER 2","MALE","MEDIUM HEAVY","2"
"ZENITH BJJ","BLUE","JUVENILE 2","MALE","MEDIUM HEAVY","1"
"ZENITH BJJ","BLACK","MASTER 1","MALE","LIGHT","1"
"ZENITH BJJ","WHITE","ADULT","FEMALE","FEATHER","1"
"ZENITH BJJ","BLUE","MASTER 1","MALE","SUPER HEAVY","1"
"ZENITH BJJ","BLUE","ADULT","MALE","ULTRA HEAVY","1"
"ZENITH BJJ","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"ZENITH BJJ","BLUE","MASTER 2","MALE","MIDDLE","1"
"ZENITH BJJ","BROWN","ADULT","MALE","FEATHER","1"
"ZENITH BJJ","WHITE","ADULT","MALE","FEATHER","1"
"ZENITH BJJ","PURPLE","ADULT","MALE","MIDDLE","1"
"ZENITH BJJ","WHITE","ADULT","MALE","LIGHT","1"
"HILTI BJJ JYVASKYLA","PURPLE","ADULT","FEMALE","MIDDLE","2"
"HILTI BJJ JYVASKYLA","WHITE","ADULT","FEMALE","LIGHT","1"
"HILTI BJJ JYVASKYLA","BROWN","ADULT","FEMALE","HEAVY","1"
"WILLCOX TEAM","BLACK","ADULT","MALE","LIGHT FEATHER","1"
"ATTICA","PURPLE","MASTER 1","MALE","MIDDLE","1"
"ATTICA","WHITE","MASTER 1","MALE","SUPER HEAVY","1"
"WING BJJ","BLUE","ADULT","MALE","LIGHT","1"
"WING BJJ","BLUE","MASTER 3","MALE","MIDDLE","2"
"WING BJJ","WHITE","MASTER 2","MALE","LIGHT FEATHER","1"
"WING BJJ","BLUE","MASTER 1","MALE","MEDIUM HEAVY","2"
"WING BJJ","BROWN","MASTER 2","MALE","MEDIUM HEAVY","1"
"WING BJJ","WHITE","MASTER 2","MALE","FEATHER","1"
"WING BJJ","PURPLE","ADULT","MALE","MEDIUM HEAVY","1"
"WING BJJ","WHITE","MASTER 2","MALE","HEAVY","1"
"WING BJJ","BLUE","MASTER 1","MALE","ROOSTER","1"
"WING BJJ","BLUE","MASTER 4","MALE","FEATHER","1"
"WING BJJ","BLUE","ADULT","MALE","FEATHER","1"
"WING BJJ","BLUE","MASTER 1","MALE","MIDDLE","1"
"WING BJJ","WHITE","ADULT","MALE","MIDDLE","1"
"WING BJJ","BROWN","MASTER 3","MALE","MIDDLE","1"
"WING BJJ","WHITE","ADULT","MALE","LIGHT","2"
"WING BJJ","BLACK","MASTER 1","MALE","MIDDLE","1"
"WING BJJ","BLUE","MASTER 2","MALE","MEDIUM HEAVY","1"
"WING BJJ","BLACK","MASTER 3","MALE","MEDIUM HEAVY","1"
"WING BJJ","WHITE","ADULT","MALE","MEDIUM HEAVY","1"
"WING BJJ","BLUE","MASTER 2","MALE","LIGHT FEATHER","1"
"WING BJJ","PURPLE","MASTER 4","MALE","MEDIUM HEAVY","1"
"WING BJJ","PURPLE","MASTER 2","MALE","MIDDLE","1"
"SOUL FIGHTERS INTERNATIONAL","PURPLE","MASTER 2","MALE","ULTRA HEAVY","1"
"SOUL FIGHTERS INTERNATIONAL","WHITE","ADULT","FEMALE","MIDDLE","1"
"SOUL FIGHTERS INTERNATIONAL","BLACK","MASTER 2","MALE","MEDIUM HEAVY","1"
"BIG BROTHERS","PURPLE","MASTER 1","MALE","MEDIUM HEAVY","1"
"BIG BROTHERS","BROWN","MASTER 1","MALE","HEAVY","1"
"POUND FOR POUND TEAM","WHITE","ADULT","MALE","HEAVY","1"
"POUND FOR POUND TEAM","WHITE","MASTER 2","MALE","MEDIUM HEAVY","2"
"POUND FOR POUND TEAM","WHITE","ADULT","MALE","LIGHT FEATHER","1"
