"Game","#Athlete","Avg. round"
"BLACK_ADULT_FEMALE_MIDDLE","2","1.0"
"BLACK_ADULT_MALE_HEAVY","16","4.0"
"BLUE_MASTER_2_MALE_SUPER_HEAVY","11","3.8181818181818183"
"PURPLE_MASTER_3_MALE_LIGHT","6","2.6666666666666665"
"BLACK_MASTER_2_MALE_ULTRA_HEAVY","5","2.8"
"BLUE_MASTER_1_FEMALE_MEDIUM_HEAVY","3","1.3333333333333333"
"BLUE_JUVENILE_2_MALE_LIGHT_FEATHER","3","1.3333333333333333"
"BROWN_MASTER_1_MALE_ULTRA_HEAVY","4","2.0"
"WHITE_MASTER_2_MALE_LIGHT_FEATHER","4","2.0"
"PURPLE_MASTER_6_MALE_ULTRA_HEAVY","1","0.0"
"BLUE_MASTER_1_MALE_MEDIUM_HEAVY","28","4.571428571428571"
"WHITE_ADULT_FEMALE_HEAVY","10","3.9"
"BROWN_MASTER_2_MALE_ULTRA_HEAVY","3","1.3333333333333333"
"WHITE_MASTER_1_MALE_ULTRA_HEAVY","9","4.0"
"BROWN_ADULT_FEMALE_LIGHT","4","2.0"
"PURPLE_MASTER_2_MALE_LIGHT","19","4.842105263157895"
"WHITE_MASTER_1_MALE_LIGHT","33","5.757575757575758"
"BLUE_ADULT_FEMALE_LIGHT_FEATHER","19","4.842105263157895"
"WHITE_JUVENILE_1_MALE_HEAVY","1","0.0"
"BLUE_MASTER_3_MALE_MEDIUM_HEAVY","13","3.6923076923076925"
"BLUE_JUVENILE_2_MALE_ULTRA_HEAVY","2","1.0"
"BROWN_MASTER_1_MALE_SUPER_HEAVY","4","2.0"
"WHITE_JUVENILE_1_MALE_LIGHT","9","4.0"
"BROWN_MASTER_3_MALE_FEATHER","2","1.0"
"PURPLE_MASTER_4_MALE_LIGHT","3","1.3333333333333333"
"BROWN_ADULT_FEMALE_FEATHER","3","1.3333333333333333"
"PURPLE_ADULT_FEMALE_FEATHER","7","2.5714285714285716"
"WHITE_ADULT_MALE_SUPER_HEAVY","13","3.6923076923076925"
"PURPLE_MASTER_1_FEMALE_LIGHT_FEATHER","3","1.3333333333333333"
"BLUE_MASTER_1_MALE_MIDDLE","41","5.609756097560975"
"PURPLE_ADULT_FEMALE_LIGHT_FEATHER","9","4.0"
"PURPLE_MASTER_2_MALE_HEAVY","6","2.6666666666666665"
"BLUE_JUVENILE_2_MALE_MIDDLE","5","2.8"
"BLUE_ADULT_FEMALE_MEDIUM_HEAVY","9","4.0"
"BROWN_ADULT_FEMALE_HEAVY","1","0.0"
"PURPLE_MASTER_1_FEMALE_LIGHT","4","2.0"
"BLUE_MASTER_4_MALE_HEAVY","2","1.0"
"PURPLE_MASTER_1_MALE_SUPER_HEAVY","9","4.0"
"BROWN_ADULT_MALE_ROOSTER","1","0.0"
"BLACK_MASTER_1_FEMALE_LIGHT","2","1.0"
"BROWN_MASTER_6_MALE_MEDIUM_HEAVY","1","0.0"
"WHITE_MASTER_1_MALE_HEAVY","15","3.6"
"PURPLE_MASTER_3_MALE_MIDDLE","13","3.6923076923076925"
"BLUE_MASTER_1_FEMALE_LIGHT_FEATHER","3","1.3333333333333333"
"BROWN_MASTER_2_MALE_SUPER_HEAVY","4","2.0"
"BROWN_ADULT_MALE_MEDIUM_HEAVY","14","3.642857142857143"
"BLACK_MASTER_3_MALE_ULTRA_HEAVY","4","2.0"
"BLACK_MASTER_3_MALE_LIGHT","7","2.5714285714285716"
"PURPLE_MASTER_1_FEMALE_MIDDLE","4","2.0"
"BLUE_MASTER_1_MALE_FEATHER","25","4.64"
"BLUE_MASTER_1_FEMALE_FEATHER","1","0.0"
"WHITE_ADULT_MALE_LIGHT","69","6.521739130434782"
"PURPLE_ADULT_MALE_LIGHT_FEATHER","22","4.7272727272727275"
"BROWN_ADULT_MALE_LIGHT_FEATHER","13","3.6923076923076925"
"BLACK_MASTER_1_MALE_SUPER_HEAVY","6","2.6666666666666665"
"WHITE_MASTER_2_MALE_SUPER_HEAVY","4","2.0"
"BROWN_MASTER_1_MALE_MEDIUM_HEAVY","9","4.0"
"BLACK_MASTER_3_MALE_MEDIUM_HEAVY","11","3.8181818181818183"
"BROWN_ADULT_MALE_LIGHT","24","4.666666666666667"
"BLACK_MASTER_3_MALE_FEATHER","5","2.8"
"BLACK_MASTER_1_MALE_FEATHER","12","3.75"
"BLUE_JUVENILE_1_MALE_FEATHER","2","1.0"
"PURPLE_MASTER_6_MALE_MEDIUM_HEAVY","2","1.0"
"PURPLE_MASTER_4_MALE_MIDDLE","7","2.5714285714285716"
"BROWN_MASTER_6_MALE_MIDDLE","2","1.0"
"BLUE_ADULT_FEMALE_HEAVY","5","2.8"
"PURPLE_MASTER_1_FEMALE_FEATHER","2","1.0"
